age,tenure_months,monthly_premium,claims_count,claim_amount,support_contacts,satisfaction_score,payment_delay_days,has_dispute,online_engagement,policy_type,region,churn
69,26,49.9,0,126.66,0,3,1,1,8,standard,north,0
57,34,93.4,1,49.68,1,4,3,0,2,standard,south,0
63,45,154.41,0,155.6,0,3,2,0,4,standard,east,0
62,33,97.99,2,67.91,0,2,0,0,2,standard,east,0
32,39,90.99,1,79.22,3,4,0,0,6,premium,south,0
41,74,165.83,2,44.52,0,5,1,0,2,standard,west,0
46,78,166.91,1,697.04,2,3,0,0,10,standard,south,0
48,3,138.09,0,147.6,4,4,0,0,4,family,north,0
24,38,104.07,0,36.0,0,4,3,0,0,standard,west,0
50,81,111.62,0,136.32,2,1,0,0,6,standard,east,0
30,52,91.85,1,281.31,1,1,1,0,2,family,west,0
61,22,85.18,1,154.32,0,3,4,0,3,family,north,0
58,58,83.45,0,120.22,0,2,2,0,10,family,north,0
70,16,98.37,0,63.11,3,4,1,0,1,standard,west,0
61,5,83.78,0,154.51,1,5,2,0,7,standard,south,0
41,61,65.27,2,214.59,0,4,2,0,7,premium,north,0
73,50,127.68,2,216.24,0,2,1,0,4,family,east,0
43,73,128.21,0,143.89,1,2,0,0,4,premium,west,0
39,35,179.53,0,143.56,1,1,0,0,0,standard,west,0
69,82,96.61,2,313.52,1,1,1,0,5,premium,west,0
41,42,130.36,1,291.38,3,4,1,0,5,premium,north,0
26,71,130.94,1,107.29,2,4,0,0,6,family,west,0
46,12,111.12,1,406.24,0,1,3,0,8,standard,north,1
64,12,146.05,0,36.66,2,4,3,0,10,standard,south,0
32,75,147.13,1,148.74,2,3,1,0,4,standard,north,0
46,80,131.46,2,160.03,1,5,2,0,9,family,south,0
28,90,111.05,0,59.88,1,4,4,0,9,family,north,0
58,33,107.49,3,29.2,0,2,2,1,3,standard,west,0
47,5,72.13,2,61.08,1,3,3,1,3,standard,west,0
39,94,91.79,0,245.37,0,2,2,0,5,premium,north,0
34,58,98.23,0,250.4,3,5,0,1,5,standard,north,0
51,25,80.66,2,206.38,2,3,3,0,4,premium,north,0
57,74,135.4,1,68.95,0,5,2,0,0,standard,east,0
71,87,161.88,0,252.58,0,3,0,0,8,family,west,0
45,29,88.22,0,73.18,1,3,1,0,5,standard,east,0
30,74,129.92,0,155.55,1,1,4,0,1,family,south,0
66,76,83.81,0,126.06,2,5,1,0,9,standard,west,0
55,49,109.33,0,92.5,1,4,2,0,10,standard,south,0
59,61,95.84,0,199.19,1,2,1,0,1,standard,west,0
27,28,141.07,2,227.94,0,5,2,0,5,standard,south,0
38,89,96.24,0,65.4,0,2,0,0,6,premium,east,0
62,94,155.41,1,131.85,1,1,2,0,2,premium,south,0
66,94,111.4,1,219.65,2,4,1,0,3,standard,north,0
45,71,97.26,0,5.48,2,4,3,0,4,family,east,0
64,6,76.13,0,171.07,0,3,2,0,3,standard,north,0
66,37,128.86,5,222.89,0,4,4,1,7,standard,east,0
42,44,151.33,1,176.71,3,2,2,0,0,standard,east,0
69,92,129.57,1,182.89,2,2,1,0,7,premium,south,0
37,53,198.36,2,119.1,0,2,4,0,5,standard,north,0
34,52,170.04,0,212.23,1,2,0,0,8,standard,west,0
58,16,109.24,0,41.82,1,2,4,0,10,standard,north,0
55,76,108.87,2,61.39,3,1,1,0,4,standard,north,0
29,34,136.44,1,180.63,1,2,1,0,1,standard,south,0
66,11,90.67,0,212.72,0,3,0,0,4,standard,north,0
32,94,160.82,1,282.56,2,2,2,0,2,premium,south,0
64,20,132.66,0,366.57,1,3,2,0,5,standard,west,0
22,4,128.98,0,69.78,0,5,3,0,2,standard,west,0
64,10,144.04,1,48.84,2,1,3,0,0,premium,south,0
63,45,180.3,0,241.47,2,5,3,1,6,standard,north,0
63,12,125.98,2,89.21,0,1,0,1,3,standard,west,1
57,81,116.04,0,122.86,1,3,2,0,2,premium,west,0
46,50,172.81,1,224.67,0,1,4,0,0,standard,north,0
59,33,153.86,1,148.52,0,3,1,0,10,premium,east,0
36,3,108.77,0,207.53,0,5,4,1,9,premium,west,0
63,47,120.18,0,64.13,1,1,2,0,7,family,west,0
51,17,126.84,1,161.48,1,3,2,1,4,standard,south,0
46,93,132.66,0,159.02,0,3,1,0,6,premium,east,0
48,30,72.52,1,279.17,0,3,1,0,5,premium,east,0
52,47,66.01,0,322.33,3,4,4,0,0,premium,east,0
23,4,88.94,2,87.59,1,2,1,1,10,standard,west,0
29,15,86.23,2,54.35,0,4,0,0,5,premium,south,0
35,22,97.47,0,216.24,1,2,1,0,5,standard,north,0
28,7,142.21,0,26.33,1,2,5,0,8,standard,east,0
45,70,114.09,0,226.99,1,3,3,0,7,standard,west,0
57,90,126.87,2,239.41,2,5,1,0,5,family,west,0
56,94,77.15,0,81.91,1,3,4,0,9,premium,north,0
46,27,103.84,0,7.61,0,5,0,1,8,premium,west,0
67,76,140.55,0,257.21,2,1,4,0,6,premium,north,0
51,49,140.82,1,337.67,1,1,2,0,7,standard,west,0
26,7,94.64,2,322.27,1,3,2,0,1,standard,east,0
62,11,125.66,1,329.39,1,5,1,0,10,premium,north,0
52,53,196.96,1,38.8,1,2,3,0,9,premium,north,0
55,42,119.38,0,134.87,1,2,2,0,4,premium,north,0
51,3,95.74,1,158.27,0,1,0,0,0,standard,north,0
51,89,113.92,1,141.07,1,5,0,0,9,premium,north,0
26,70,123.23,2,209.06,2,1,1,0,5,premium,west,0
51,49,114.71,0,51.22,1,4,2,0,2,standard,north,0
64,94,118.9,1,25.52,0,2,1,0,10,premium,west,0
38,93,69.48,1,17.34,3,3,2,1,6,standard,north,0
53,93,86.31,0,261.0,1,4,5,0,2,standard,east,0
23,27,114.77,1,38.35,0,3,4,0,6,premium,east,0
40,84,114.22,1,140.37,1,1,2,0,8,standard,south,0
45,49,100.18,0,78.72,0,3,1,1,4,premium,south,0
74,70,113.8,0,81.81,1,1,2,0,7,premium,west,0
33,82,122.14,3,110.05,2,5,2,0,1,standard,north,0
36,18,151.13,1,84.85,0,5,5,0,3,premium,south,0
43,44,116.53,1,25.59,2,5,3,0,4,standard,west,0
74,14,133.97,1,110.12,1,3,0,0,1,standard,south,1
67,28,101.04,0,65.37,1,3,2,0,2,standard,north,0
23,41,140.02,1,62.5,0,3,2,0,5,premium,north,0
34,82,133.15,0,403.52,1,5,2,0,5,standard,east,0
65,83,150.3,2,32.51,0,4,2,0,3,standard,west,0
25,39,144.97,1,105.98,1,3,3,1,0,family,north,0
67,33,140.61,0,149.66,1,5,0,0,4,family,south,0
36,52,116.56,0,403.82,1,3,1,0,5,family,north,0
70,87,128.57,1,46.23,3,4,1,0,10,standard,west,0
37,93,157.22,0,310.94,2,2,0,0,4,premium,west,0
45,24,97.18,1,109.47,3,3,1,0,5,premium,south,0
57,20,98.01,2,112.7,1,5,3,1,0,standard,north,0
28,68,126.35,0,200.41,3,2,2,0,1,standard,east,0
51,31,134.53,1,344.42,3,4,0,0,6,standard,east,0
48,21,91.16,0,84.3,2,2,1,0,5,family,east,0
63,5,117.38,0,158.08,0,3,2,1,3,premium,north,0
74,40,116.71,0,142.35,0,2,2,0,4,standard,north,0
57,39,42.47,0,137.21,2,4,1,0,6,standard,north,0
43,55,112.31,2,225.39,1,4,3,0,4,family,west,0
43,21,114.49,1,69.48,1,5,3,0,9,premium,south,0
44,69,114.39,0,94.28,1,2,0,0,2,family,north,0
65,66,169.56,0,26.39,1,1,2,0,9,standard,west,0
39,45,77.45,1,189.22,3,5,1,0,10,family,west,0
30,19,91.14,1,132.41,1,2,3,0,5,standard,west,0
39,50,40.0,3,338.62,0,4,1,0,1,standard,east,0
23,65,103.17,0,45.24,0,2,3,0,5,family,east,0
27,37,106.15,3,437.81,0,5,1,0,9,standard,south,0
26,27,102.15,0,212.38,2,1,4,0,5,premium,north,0
62,50,158.77,2,205.87,2,1,0,0,6,standard,east,0
60,36,150.12,1,77.09,4,2,3,0,4,premium,south,0
58,40,122.72,1,102.2,0,3,2,1,6,standard,south,0
46,35,107.03,0,88.8,2,4,1,0,3,standard,east,0
60,31,155.92,3,298.01,0,3,0,0,2,standard,south,0
30,69,119.31,0,21.99,1,2,3,1,1,family,east,0
69,45,91.36,0,114.47,2,1,3,0,7,family,north,0
48,46,59.93,3,122.17,1,5,1,0,10,family,west,0
71,63,104.55,1,86.2,3,3,2,0,3,family,west,0
30,36,146.41,0,56.6,3,5,3,1,0,premium,east,0
48,12,199.68,2,10.47,1,2,6,0,4,standard,south,0
58,82,122.16,0,115.96,1,2,0,0,3,standard,north,0
48,8,93.21,2,188.86,1,2,0,0,6,premium,west,0
45,56,78.53,1,132.53,2,3,0,0,1,standard,south,0
30,27,139.32,2,56.66,0,1,0,0,8,standard,west,0
42,22,58.24,1,123.16,1,1,3,0,0,standard,south,0
34,6,139.26,0,341.39,0,4,1,0,4,family,west,0
37,86,148.62,0,72.18,1,4,1,0,1,standard,south,0
58,42,135.27,1,147.55,1,3,2,0,9,standard,east,0
55,34,112.31,0,163.41,0,3,0,0,5,premium,north,0
54,71,139.77,1,35.11,2,3,3,0,10,premium,west,0
41,6,125.98,2,98.35,1,3,0,0,6,standard,east,0
72,55,92.77,0,99.3,2,2,2,0,8,premium,east,0
26,48,184.76,1,128.55,0,4,4,0,9,standard,north,0
40,54,107.69,0,291.19,2,1,0,0,9,standard,east,0
28,14,147.15,3,43.66,2,4,1,0,7,premium,south,0
39,91,40.0,2,303.69,2,4,5,0,8,family,south,0
72,25,164.68,2,199.17,2,3,1,0,8,premium,south,0
41,66,171.41,0,445.9,2,2,2,0,7,standard,south,0
70,72,121.04,1,15.22,1,5,1,0,6,standard,west,0
48,34,139.56,0,610.57,0,5,1,0,5,standard,south,0
59,15,139.55,0,33.55,1,5,2,0,2,standard,west,0
46,30,97.5,1,60.44,2,1,0,1,6,standard,north,0
36,78,139.15,0,60.95,1,4,2,0,9,standard,south,0
62,87,91.7,0,192.4,1,1,1,1,9,standard,east,0
73,90,98.69,0,105.31,3,1,2,1,5,standard,west,0
35,24,159.44,1,69.18,3,1,3,0,5,standard,south,0
63,59,154.11,0,392.63,2,4,2,1,8,standard,east,0
35,17,95.28,1,12.17,2,4,0,1,10,standard,west,0
59,69,94.32,0,253.93,0,5,2,0,0,standard,west,0
63,41,97.4,2,119.96,0,4,2,0,7,standard,west,0
45,69,145.64,2,68.1,1,3,1,0,4,standard,south,0
61,66,85.0,2,75.57,0,1,2,0,2,standard,west,1
36,95,132.48,1,96.88,1,4,3,0,3,standard,west,0
26,48,146.14,2,61.69,2,5,0,0,10,family,south,0
27,34,116.91,0,226.47,1,2,2,0,3,standard,east,0
45,51,155.35,2,90.31,3,4,5,0,5,premium,south,0
69,18,109.35,0,203.93,0,3,5,0,7,premium,north,0
28,13,112.52,1,76.62,0,3,1,0,2,premium,north,0
46,51,85.8,1,145.61,1,4,0,1,9,premium,north,0
59,79,155.6,0,145.56,1,2,1,0,0,standard,east,1
32,52,93.17,1,127.56,1,5,1,0,9,standard,west,0
60,75,132.24,2,310.27,1,5,3,0,7,standard,north,0
38,19,117.5,1,331.67,1,1,2,0,8,standard,north,0
64,44,83.15,1,218.09,1,3,3,0,1,standard,north,0
52,60,98.68,2,268.7,2,1,4,0,8,standard,west,0
50,35,168.4,1,209.72,0,2,2,0,3,standard,south,1
31,4,127.06,1,85.0,0,2,1,0,9,family,west,0
46,9,84.68,1,112.38,2,4,2,0,3,standard,north,0
67,89,130.69,0,15.35,1,2,4,0,7,standard,east,0
23,59,114.89,3,52.96,1,2,1,1,10,premium,east,0
62,27,240.89,0,33.8,1,4,1,0,8,family,west,0
48,27,129.98,1,67.56,1,4,5,0,0,standard,east,0
60,6,106.68,0,154.43,1,1,0,0,2,premium,west,0
57,90,169.7,2,82.39,0,2,2,0,1,standard,north,0
44,13,55.56,0,234.2,2,4,3,1,10,family,east,0
38,73,123.3,1,54.93,1,1,1,0,3,premium,south,0
55,25,189.8,0,197.14,0,3,1,0,5,standard,west,0
29,34,115.93,0,50.47,0,3,2,0,6,premium,south,0
52,28,59.33,0,295.36,2,4,2,0,2,standard,east,0
27,79,106.14,0,54.82,1,4,2,0,4,standard,west,0
56,6,170.91,1,176.69,0,3,2,0,4,standard,north,0
55,35,133.16,1,69.29,3,3,2,0,0,premium,south,0
26,28,90.64,1,365.91,0,4,3,1,9,family,south,0
62,28,96.02,1,355.67,2,2,0,0,9,standard,north,0
44,20,100.41,2,172.33,0,3,1,0,7,premium,east,0
63,87,132.64,1,169.83,1,3,4,0,4,premium,south,0
24,38,166.84,2,222.11,2,2,1,0,1,standard,north,0
31,41,156.83,1,194.75,1,4,1,0,3,premium,north,0
48,38,135.96,0,243.51,3,4,0,0,4,family,north,0
31,94,73.39,1,53.66,1,5,5,0,2,premium,south,0
39,34,73.52,0,127.59,1,3,0,0,8,standard,east,0
57,34,138.66,0,73.88,0,4,2,0,4,premium,north,0
29,33,72.91,1,351.97,0,2,3,0,7,family,west,0
57,33,112.11,2,39.71,0,5,5,0,5,standard,north,0
27,11,130.65,2,394.44,3,5,2,0,2,standard,north,0
31,59,80.18,2,129.37,3,3,1,0,7,premium,south,0
53,5,84.15,0,246.16,2,4,4,0,8,standard,north,0
64,24,116.71,1,81.78,1,3,1,0,4,family,west,0
31,21,137.63,1,36.39,2,1,3,1,7,standard,east,1
37,30,157.15,1,342.55,1,5,0,0,10,standard,south,0
71,73,141.25,1,183.81,0,4,2,0,2,premium,west,0
74,58,122.58,0,43.43,1,3,1,0,9,standard,east,0
52,95,93.88,0,116.37,1,2,3,0,3,standard,west,0
45,35,82.52,1,109.48,0,4,3,0,0,standard,south,0
40,89,102.12,1,179.16,1,3,3,0,4,family,north,0
54,7,134.35,1,53.43,1,5,2,0,9,standard,south,0
53,49,131.78,0,42.46,1,2,4,0,7,premium,south,0
37,77,46.5,2,141.23,0,3,2,0,3,family,west,0
23,52,92.5,0,56.42,0,1,1,0,10,premium,north,0
30,89,162.16,0,349.87,2,4,2,0,10,standard,north,0
72,32,122.77,1,229.78,0,2,0,0,10,standard,east,0
44,6,70.4,0,225.02,0,1,2,0,6,standard,east,0
47,74,202.45,2,14.91,0,3,2,0,7,standard,south,0
46,9,118.99,0,84.63,0,3,3,0,5,standard,south,0
63,74,133.45,1,99.93,1,2,2,1,4,standard,south,0
25,71,133.98,0,48.34,1,5,0,0,5,premium,north,1
26,81,107.13,0,195.27,2,1,2,1,0,premium,west,0
36,47,94.53,2,176.66,1,2,5,0,1,premium,south,0
47,86,194.26,0,218.58,4,2,2,0,6,standard,west,0
57,18,155.11,1,264.99,2,5,2,0,4,standard,south,0
48,43,148.77,1,255.71,1,2,2,0,5,family,west,0
45,14,140.17,2,644.8,1,2,1,0,10,premium,west,0
71,74,84.88,0,124.38,0,3,5,0,7,standard,east,0
30,69,164.71,1,108.14,2,2,2,0,0,standard,west,0
52,77,90.49,0,193.43,0,2,1,0,10,premium,north,0
50,74,129.92,0,298.25,1,2,3,0,9,standard,north,0
47,31,62.62,1,25.81,2,3,0,0,1,standard,east,0
64,9,48.57,1,63.87,1,4,3,0,9,standard,north,0
36,89,131.14,1,77.77,1,3,0,0,4,standard,east,0
72,48,91.68,1,134.38,0,5,1,0,4,standard,north,0
39,11,50.38,1,85.04,2,2,3,0,6,standard,north,0
50,89,138.92,0,267.91,1,5,3,0,9,standard,south,0
49,95,194.2,1,149.18,1,4,6,0,3,family,west,0
67,44,168.63,0,115.29,0,1,0,0,6,family,east,0
45,74,110.99,1,177.83,0,4,3,0,1,standard,west,0
37,6,120.31,0,17.93,0,5,4,0,0,standard,west,0
23,11,151.07,0,171.52,0,4,4,0,6,standard,west,0
41,28,159.27,0,57.96,4,2,3,0,2,family,north,0
65,64,107.98,1,235.15,1,3,4,1,0,standard,west,0
22,15,121.2,1,21.81,0,5,4,1,0,family,south,0
69,6,130.52,0,186.58,0,2,1,0,4,premium,east,0
50,65,139.39,2,59.43,3,3,7,1,2,premium,west,0
29,74,115.34,0,302.41,1,3,1,0,10,standard,west,0
38,71,115.8,0,28.25,2,5,0,0,5,premium,south,0
51,77,168.29,0,130.6,3,5,1,0,5,standard,south,0
38,77,162.33,1,211.35,0,4,5,0,1,premium,south,0
27,59,136.71,0,164.25,2,3,1,0,1,premium,north,0
57,51,180.17,0,163.46,0,3,4,0,3,family,east,0
57,82,106.47,0,39.39,0,4,1,0,9,premium,east,0
28,35,176.8,2,36.82,3,1,1,0,6,family,south,0
36,12,138.99,1,158.79,0,3,5,1,1,standard,north,0
34,72,234.49,1,140.97,2,2,2,0,0,premium,east,0
56,28,78.26,1,50.59,1,5,2,0,2,standard,north,0
60,94,95.87,0,47.86,0,5,0,0,3,standard,south,0
60,41,134.66,1,116.72,1,2,2,0,10,standard,west,0
71,82,133.9,0,92.57,0,4,3,0,1,standard,north,0
62,6,188.25,2,435.49,1,3,1,0,8,standard,west,0
38,64,96.61,2,314.86,4,5,1,0,4,standard,east,0
27,44,151.67,2,229.1,1,3,4,1,3,standard,north,0
54,46,160.69,0,341.67,0,4,2,0,2,premium,north,0
70,27,144.66,0,72.92,1,4,4,0,7,standard,north,0
73,93,86.37,1,82.69,1,5,3,0,7,family,west,0
34,39,169.27,0,283.97,1,4,1,0,5,standard,north,0
34,82,163.03,1,130.29,1,2,0,0,10,standard,east,0
23,42,140.99,0,136.54,2,4,4,0,9,family,west,0
29,7,127.15,0,44.8,1,2,2,0,8,family,north,0
51,84,127.91,0,275.0,0,4,3,0,6,standard,south,0
50,20,117.24,1,193.13,0,5,4,0,5,standard,north,0
41,28,142.43,0,101.59,2,3,0,0,7,family,west,0
38,83,121.09,0,83.22,2,5,5,0,6,family,west,0
65,86,90.3,0,306.05,2,1,1,0,1,family,west,0
46,88,83.3,0,73.7,1,3,3,0,7,standard,north,0
64,42,93.68,0,31.97,1,5,2,1,2,standard,east,0
73,73,127.77,1,317.97,1,4,0,0,8,standard,east,0
38,33,119.06,0,322.37,0,2,3,0,0,premium,west,0
32,71,127.54,1,73.45,3,3,2,0,0,standard,east,0
72,49,137.53,0,492.53,2,1,1,0,6,standard,south,0
55,7,98.04,0,119.01,1,5,2,0,8,family,south,0
37,41,171.3,0,74.17,2,1,1,0,6,standard,west,0
54,46,110.63,0,188.59,0,3,0,0,1,standard,east,0
49,26,104.83,1,38.39,1,3,3,0,3,premium,north,0
69,37,136.88,2,56.06,4,4,3,0,4,family,west,0
35,49,55.72,0,159.54,0,3,3,0,2,family,east,0
74,7,92.33,0,138.92,1,1,2,0,10,standard,north,0
71,17,154.34,0,245.43,0,4,1,0,4,premium,south,0
31,74,59.19,1,44.31,0,5,1,0,9,family,north,0
30,35,159.12,1,437.53,1,4,0,0,1,premium,east,1
50,59,172.89,2,91.1,2,1,2,1,5,standard,east,0
24,55,107.07,2,135.11,1,1,1,0,9,premium,west,0
37,54,130.21,0,87.66,0,2,0,0,3,standard,north,0
45,41,159.17,0,38.07,1,2,0,0,9,standard,south,0
73,47,103.66,0,124.05,3,1,3,0,8,standard,north,0
74,79,150.37,1,209.31,2,5,0,0,6,standard,north,0
30,92,96.51,1,109.86,1,4,1,0,0,premium,west,0
69,26,103.28,0,61.93,0,4,2,0,9,standard,west,0
26,65,92.02,1,251.19,1,5,3,0,5,standard,west,0
61,93,131.99,2,257.88,5,5,0,0,6,standard,east,0
66,3,160.53,1,105.32,3,1,2,0,7,premium,north,0
69,75,113.56,1,166.98,0,1,2,0,5,premium,south,0
33,49,75.51,0,249.9,1,4,3,0,1,family,east,0
69,92,82.11,3,207.62,0,5,3,1,6,family,east,0
28,56,133.81,1,163.51,2,4,2,0,6,premium,north,0
49,80,184.54,2,201.55,1,5,3,0,0,premium,west,0
46,18,133.78,0,175.51,0,4,5,0,2,premium,west,0
38,16,106.46,0,129.62,2,3,2,0,2,standard,west,0
23,89,146.82,0,43.43,0,1,2,0,3,standard,north,0
62,51,111.62,0,53.95,2,4,1,0,6,standard,south,0
39,54,106.76,0,181.08,2,2,1,0,6,family,east,0
57,18,86.45,1,86.93,2,2,0,1,1,premium,south,0
43,24,169.3,0,176.35,1,5,3,0,9,standard,south,0
41,79,40.0,1,42.32,2,4,1,1,8,family,east,0
68,31,147.93,0,67.16,1,3,4,0,1,family,north,0
27,57,103.77,2,109.86,1,4,6,0,1,standard,north,0
61,32,105.64,0,11.4,1,4,2,1,9,family,north,0
61,27,179.23,0,59.61,1,3,3,0,4,standard,north,0
42,18,95.01,3,74.99,2,5,1,0,4,standard,south,0
35,89,96.2,0,146.62,3,1,2,0,5,premium,west,0
22,90,115.44,0,104.59,3,3,2,0,10,standard,north,0
71,13,134.48,2,152.54,1,3,1,1,1,premium,south,0
72,35,104.54,1,133.19,0,1,0,0,10,family,north,0
34,55,64.91,1,101.19,3,4,2,0,2,standard,south,0
23,38,89.7,1,75.42,0,1,1,1,9,standard,north,0
28,70,164.85,1,136.64,1,4,2,0,5,standard,south,0
25,27,122.62,0,298.6,1,4,2,0,8,standard,west,0
66,8,135.79,3,75.04,0,3,4,0,1,premium,west,0
69,34,110.85,1,425.72,1,2,3,0,4,premium,south,0
30,58,96.92,1,138.6,1,5,2,0,2,family,north,0
61,19,178.71,1,236.83,0,4,2,0,6,standard,west,0
31,78,113.41,0,168.35,1,1,4,0,0,standard,east,0
41,4,104.48,0,186.68,1,4,3,1,4,standard,south,0
53,9,158.36,0,59.2,1,1,3,0,5,premium,west,0
60,50,94.72,0,86.3,0,4,0,0,5,standard,south,0
68,50,99.18,0,25.16,0,2,2,0,9,standard,west,0
24,30,120.36,1,107.89,1,4,0,0,6,standard,west,0
32,27,120.01,0,199.36,0,5,6,0,8,premium,west,0
36,9,129.09,5,108.52,2,4,2,1,5,standard,north,0
38,64,193.21,2,245.98,0,4,2,0,3,standard,north,0
74,38,131.77,4,93.36,0,4,2,0,3,premium,south,0
63,14,40.0,0,71.07,3,4,3,0,7,premium,east,0
38,40,131.42,2,83.27,0,5,3,0,10,standard,north,0
73,90,121.33,3,213.17,1,5,1,0,10,family,north,0
48,27,121.52,1,365.37,0,4,1,0,2,premium,south,0
48,86,128.61,1,454.65,1,3,4,0,4,premium,south,0
44,27,119.0,1,197.66,3,2,3,0,6,premium,west,0
29,20,118.16,0,238.13,3,2,1,0,10,premium,west,0
71,27,141.46,2,31.83,2,4,1,0,3,family,south,0
22,33,101.03,1,41.46,3,4,3,0,8,standard,north,0
31,14,86.83,0,61.51,1,3,2,0,9,standard,east,0
34,57,225.83,0,310.93,1,3,3,0,1,family,south,0
36,34,94.94,2,307.93,3,4,1,0,3,standard,south,0
28,69,123.51,2,522.78,0,3,3,0,4,standard,south,0
22,48,67.65,1,60.28,1,1,5,0,9,standard,south,0
57,44,124.08,0,118.2,0,1,0,0,10,premium,north,0
73,46,87.34,0,24.97,2,2,1,0,1,premium,east,0
28,17,104.51,1,35.31,1,2,1,0,1,premium,west,0
37,69,156.58,0,100.87,1,4,0,0,4,standard,west,0
48,12,136.52,2,62.68,0,3,2,0,0,family,east,0
71,70,139.89,0,63.35,2,3,2,1,5,standard,south,0
58,95,58.01,0,77.98,6,1,1,0,2,family,west,0
62,74,184.29,0,335.09,0,1,4,0,4,standard,east,0
52,45,78.28,2,269.91,4,5,1,0,0,standard,south,0
44,32,173.5,1,53.36,2,5,4,1,2,standard,north,0
32,84,155.75,0,264.78,1,1,6,0,1,premium,west,0
67,26,140.21,0,67.21,0,3,0,0,2,family,west,0
64,47,90.08,1,31.39,1,5,1,0,4,premium,east,0
23,74,125.31,1,75.65,3,4,2,1,2,family,north,0
59,88,103.52,1,157.24,2,1,6,1,8,standard,south,0
26,88,121.02,0,58.99,2,3,1,0,4,standard,east,0
61,11,111.25,2,195.09,2,5,1,0,2,standard,north,0
65,86,48.65,1,80.21,2,2,1,0,6,premium,south,0
28,13,159.26,2,165.68,1,3,2,0,9,standard,north,0
44,57,117.16,1,52.78,1,2,5,0,5,standard,west,0
28,89,103.03,0,127.29,2,1,0,0,10,premium,south,0
52,63,100.39,2,60.63,1,5,2,0,3,standard,south,0
71,91,132.55,2,103.24,1,2,2,0,5,premium,west,0
26,35,88.72,0,429.96,2,3,4,0,4,standard,south,0
43,32,41.07,0,89.27,0,2,1,0,10,standard,south,0
73,33,134.25,0,40.57,1,4,1,0,7,standard,north,0
37,36,138.17,0,133.49,4,4,0,0,6,family,west,0
29,66,113.01,0,135.22,2,3,1,0,4,standard,south,0
47,45,79.82,0,134.56,3,1,1,0,0,standard,south,0
48,71,123.11,0,187.1,3,2,1,0,9,standard,south,0
57,41,68.74,0,85.84,4,2,0,0,1,family,east,0
38,31,84.05,2,200.38,2,4,3,0,7,standard,south,0
72,20,93.73,1,123.35,2,4,1,0,5,family,south,0
49,54,149.54,0,38.34,1,1,4,0,7,standard,east,0
